,orthography,phonology,Class,gender,gender_numeric
607,abschmaelzen,&pSmEl=@n,V,,
608,abschmecken,&pSmEk@n,V,,
609,abschmelzen,&pSmEl=@n,V,,
610,abschmettern,&pSmEt@rn,V,,
611,abschmieren,&pSmir@n,V,,
612,abschminken,&pSmINk@n,V,,
613,abschmirgeln,&pSmIrg@ln,V,,
614,abschnallen,&pSn&l@n,V,,
615,abschneiden,&pSnWd@n,V,,
616,Abschnitt,&pSnIt,N,m.,1.0
617,abschnittsweise,&pSnI=vWz@,ADV,,
618,Abschnitzel,&pSnI=@l,N,o.,3.0
619,abschnueren,&pSnyr@n,V,,
620,Abschnuerung,&pSnyrUN,N,v.,2.0
621,abschoepfen,&pS/+@n,V,,
622,Abschoepfung,&pS/+UN,N,v.,2.0
623,abschotten,&pSOt@n,V,,
624,abschraegen,&pSr)g@n,V,,
625,abschrauben,&pSrBb@n,V,,
626,abschrecken,&pSrEk@n,V,,
627,abschreckend,&pSrEk@nt,A,,
628,Abschreckung,&pSrEkUN,N,v.,2.0
629,Abschreckungsstrafe,&pSrEkUNsStraf@,N,v.,2.0
630,abschreiben,&pSrWb@n,V,,
631,Abschreibung,&pSrWbUN,N,v.,2.0
632,Abschrift,&pSrIft,N,v.,2.0
633,abschriftlich,&pSrIftlIx,A,,
634,abschroten,&pSrot@n,V,,
635,Abschrot,&pSrot,N,m.,1.0
636,abschrubben,&pSrUb@n,V,,
637,abschuften,&pSUft@n,V,,
638,abschuppen,&pSUp@n,V,,
639,Abschuppung,&pSUpUN,N,v.,2.0
640,abschuerfen,&pSYrf@n,V,,
641,Abschuerfung,&pSYrfUN,N,v.,2.0
642,Abschuss,&pSUs,N,m.,1.0
643,abschuessig,&pSYsIx,A,,
644,Abschussrampe,&pSUsr&mp@,N,v.,2.0
645,abschuetten,&pSYt@n,V,,
646,abschuetteln,&pSYt@ln,V,,
647,abschwaechen,&pSv)x@n,V,,
648,Abschwaechung,&pSv)xUN,N,v.,2.0
649,abschweifen,&pSvWf@n,V,,
650,Abschweifung,&pSvWfUN,N,v.,2.0
651,abschwellen,&pSvEl@n,V,,
652,abschwemmen,&pSvEm@n,V,,
653,abschwenken,&pSvENk@n,V,,
654,abschwingen,&pSvIN@n,V,,
655,abschwirren,&pSvIr@n,V,,
656,abschwoeren,&pSv|r@n,V,,
657,Abschwung,&pSvUN,N,m.,1.0
658,absehen,&pze@n,V,,
659,absehbar,&pzebar,A,,
660,absein,&pzWn,V,,
661,abseilen,&pzWl@n,V,,
662,abseit,&pzWt,ADV,,
663,Abseit,&pzWt,N,o.,3.0
664,Abseite,&pzWt@,N,v.,2.0
665,Abseitigkeit,&pzWtIxkWt,N,v.,2.0
666,abseits,&pzW=,ADV,,
667,Abseits,&pzW=,N,o.,3.0
668,abseits,&pzW=,PREP,,
669,Abseitsstellung,&pzW=StElUN,N,v.,2.0
670,absenden,&pzEnd@n,V,,
671,Absender,&pzEnd@r,N,m.,1.0
672,Absendung,&pzEndUN,N,v.,2.0
673,absenken,&pzENk@n,V,,
674,Absenker,&pzENk@r,N,m.,1.0
675,absentieren,&pzEntir@n,V,,
676,Absenz,&pzEn=,N,v.,2.0
677,abserbeln,&pzErb@ln,V,,
678,abservieren,&pzErvir@n,V,,
679,absetzen,&pzE=@n,V,,
680,absetzbar,&pzE=bar,A,,
681,Absetzung,&pzE=UN,N,v.,2.0
682,absichern,&pzIx@rn,V,,
683,Absicht,&pzIxt,N,v.,2.0
684,absichtlich,&pzIxtlIx,A,,
685,Absichtlichkeit,&pzIxtlIxkWt,N,v.,2.0
686,Absichtserklaerung,&pzIx=Erkl)rUN,N,v.,2.0
687,absichtslos,&pzIx=los,A,,
688,absichtsvoll,&pzIx=fOl,A,,
689,absingen,&pzIN@n,V,,
690,absinken,&pzINk@n,V,,
691,absitzen,&pzI=@n,V,,
692,absolut,&pzolut,A,,
693,Absolutheit,&pzoluthWt,N,v.,2.0
694,Absolution,&pzolu=ion,N,v.,2.0
695,Absolutismus,&pzolutIsmUs,N,m.,1.0
696,Absolutist,&pzolutIst,N,m.,1.0
697,absolutistisch,&pzolutIstIS,A,,
698,Absolutorium,&pzolutoriUm,N,o.,3.0
699,Absolvent,&pzOlvEnt,N,m.,1.0
700,absolvieren,&pzOlvir@n,V,,
701,Absolvierung,&pzOlvirUN,N,v.,2.0
702,absondern,&pzOnd@rn,V,,
703,absonderlich,&pzOnd@rlIx,A,,
704,Absonderlichkeit,&pzOnd@rlIxkWt,N,v.,2.0
705,Absonderung,&pzOnd@rUN,N,v.,2.0
706,Absorbens,&pzOrbEns,N,o.,3.0
707,Absorber,&pzOrb@r,N,m.,1.0
708,absorbieren,&pzOrbir@n,V,,
709,Absorption,&pzOrp=ion,N,v.,2.0
710,absorptiv,&pzOrptif,A,,
711,abspalten,&pSp<@n,V,,
712,Abspaltung,&pSp<UN,N,v.,2.0
713,abspanen,&pSpan@n,V,,
714,abspaenen,&pSp)n@n,V,,
715,abspannen,&pSp&n@n,V,,
716,Abspannung,&pSp&nUN,N,v.,2.0
717,absparen,&pSpar@n,V,,
718,abspeichern,&pSpWx@rn,V,,
719,abspeisen,&pSpWz@n,V,,
720,abspenstig,&pSpEnstIx,A,,
721,absperren,&pSpEr@n,V,,
722,Absperrhahn,&pSpErhan,N,m.,1.0
723,Absperrkette,&pSpErkEt@,N,v.,2.0
724,Absperrung,&pSpErUN,N,v.,2.0
725,abspiegeln,&pSpig@ln,V,,
726,abspielen,&pSpil@n,V,,
727,absplittern,&pSplIt@rn,V,,
728,Absplitterung,&pSplIt@rUN,N,v.,2.0
729,Absprache,&pSprax@,N,v.,2.0
730,absprachegemaess,&pSprax@g@m)s,A,,
731,absprechen,&pSprEx@n,V,,
732,abspringen,&pSprIN@n,V,,
733,Absprung,&pSprUN,N,m.,1.0
734,Absprunghafen,&pSprUNhaf@n,N,m.,1.0
735,abspulen,&pSpul@n,V,,
736,abspuelen,&pSpyl@n,V,,
737,abstammen,&pSt&m@n,V,,
738,Abstammung,&pSt&mUN,N,v.,2.0
739,Abstand,&pSt&nt,N,m.,1.0
740,abstaendig,&pStEndIx,A,,
741,Abstandssumme,&pSt&n=zUm@,N,v.,2.0
742,abstatten,&pSt&t@n,V,,
743,abstauben,&pStBb@n,V,,
744,abstaeuben,&pStXb@n,V,,
745,abstechen,&pStEx@n,V,,
746,Abstecher,&pStEx@r,N,m.,1.0
747,abstecken,&pStEk@n,V,,
748,abstehen,&pSte@n,V,,
749,absteifen,&pStWf@n,V,,
750,absteigen,&pStWg@n,V,,
751,Absteige,&pStWg@,N,v.,2.0
752,Absteigequartier,&pStWg@kv&rtir,N,o.,3.0
753,Absteiger,&pStWg@r,N,m.,1.0
754,abstellen,&pStEl@n,V,,
755,Abstellbahnhof,&pStElbanhof,N,m.,1.0
756,Abstellgleis,&pStElglWs,N,o.,3.0
757,Abstellraum,&pStElrBm,N,m.,1.0
758,Abstellung,&pStElUN,N,v.,2.0
759,abstempeln,&pStEmp@ln,V,,
760,Abstempelung,&pStEmp@lUN,N,v.,2.0
761,absteppen,&pStEp@n,V,,
762,absterben,&pStErb@n,V,,
763,Abstich,&pStIx,N,m.,1.0
764,Abstieg,&pStik,N,m.,1.0
765,abstiegsgefaehrdet,&pStiksg@f)rd@t,A,,
766,abstillen,&pStIl@n,V,,
767,abstimmen,&pStIm@n,V,,
768,Abstimmkreis,&pStImkrWs,N,m.,1.0
769,Abstimmschaerfe,&pStImSErf@,N,v.,2.0
770,Abstimmung,&pStImUN,N,v.,2.0
771,Abstimmungsergebnis,&pStImUNsErgepnIs,N,o.,3.0
772,abstinent,&pstinEnt,A,,
773,Abstinent,&pstinEnt,N,m.,1.0
774,Abstinenz,&pstinEn=,N,v.,2.0
775,Abstinenzler,&pstinEn=l@r,N,m.,1.0
776,Abstinenztag,&pstinEn=tak,N,m.,1.0
777,abstoppen,&pStOp@n,V,,
778,abstossen,&pStos@n,V,,
779,Abstoss,&pStos,N,m.,1.0
780,abstossend,&pStos@nt,A,,
781,Abstossung,&pStosUN,N,v.,2.0
782,abstottern,&pStOt@rn,V,,
783,abstrafen,&pStraf@n,V,,
784,Abstrafung,&pStrafUN,N,v.,2.0
785,abstrahieren,&pstr&hir@n,V,,
786,abstrahlen,&pStral@n,V,,
787,abstrakt,&pstr&kt,A,,
788,Abstraktion,&pstr&k=ion,N,v.,2.0
789,Abstraktionsfaehigkeit,&pstr&k=ionsf)IxkWt,N,v.,2.0
790,Abstraktum,&pstr&ktUm,N,o.,3.0
791,abstraengen,&pStrEN@n,V,,
792,abstreichen,&pStrWx@n,V,,
793,Abstreicher,&pStrWx@r,N,m.,1.0
794,abstreiten,&pStrWt@n,V,,
795,Abstrich,&pStrIx,N,m.,1.0
796,abstrus,&pstrus,A,,
797,abstufen,&pStuf@n,V,,
798,Abstufung,&pStufUN,N,v.,2.0
799,abstumpfen,&pStUm+@n,V,,
800,Abstumpfung,&pStUm+UN,N,v.,2.0
801,abstuerzen,&pStYr=@n,V,,
802,Absturz,&pstUr=,N,m.,1.0
803,abstuetzen,&pStY=@n,V,,
804,absuchen,&pzux@n,V,,
805,absurd,&pzUrt,A,,
806,Absurditaet,&pzUrdit)t,N,v.,2.0
807,Abszess,&ps=Es,N,m.,1.0
808,Abszisse,&ps=Is@,N,v.,2.0
809,Abszissenachse,&ps=Is@n&ks@,N,v.,2.0
810,Abt,&pt,N,m.,1.0
811,abtakeln,&ptak@ln,V,,
812,Abtakelung,&ptak@lUN,N,v.,2.0
813,Abtaklung,&ptaklUN,N,v.,2.0
814,abtasten,&pt&st@n,V,,
815,Abtastung,&pt&stUN,N,v.,2.0
816,abtauen,&ptB@n,V,,
817,abtauschen,&ptBS@n,V,,
818,Abtausch,&ptBS,N,m.,1.0
819,Abtei,&ptW,N,v.,2.0
820,abteilen,&ptWl@n,V,,
821,Abteil,&ptWl,N,o.,3.0
822,Abteilung,&ptWlUN,N,v.,2.0
823,Abteilungsleiter,&ptWlUNslWt@r,N,m.,1.0
824,abteufen,&ptXf@n,V,,
825,abtippen,&ptIp@n,V,,
826,Aebtissin,EptIsIn,N,v.,2.0
827,abtoenen,&pt|n@n,V,,
828,Abtoenung,&pt|nUN,N,v.,2.0
829,abtoeten,&pt|t@n,V,,
830,Abtoetung,&pt|tUN,N,v.,2.0
831,abtragen,&ptrag@n,V,,
832,Abtrag,&ptrak,N,m.,1.0
833,abtraeglich,&ptr)klIx,A,,
834,Abtragung,&ptragUN,N,v.,2.0
835,Abtransport,&ptr&nspOrt,N,m.,1.0
836,abtransportieren,&ptr&nspOrtir@n,V,,
837,abtreiben,&ptrWb@n,V,,
838,Abtreibung,&ptrWbUN,N,v.,2.0
839,abtrennen,&ptrEn@n,V,,
840,abtrennbar,&ptrEnbar,A,,
841,Abtrennung,&ptrEnUN,N,v.,2.0
842,abtreten,&ptret@n,V,,
843,Abtreter,&ptret@r,N,m.,1.0
844,Abtretung,&ptretUN,N,v.,2.0
845,Abtrieb,&ptrip,N,m.,1.0
846,Abtrift,&ptrIft,N,v.,2.0
847,abtrocknen,&ptrOkn@n,V,,
848,abtropfen,&ptrO+@n,V,,
849,abtrotzen,&ptrO=@n,V,,
850,abtrumpfen,&ptrUm+@n,V,,
851,abtun,&ptun,V,,
852,abtupfen,&ptU+@n,V,,
853,Abtwahl,&ptval,N,v.,2.0
854,abundant,&bUnd&nt,A,,
855,Abundanz,&bUnd&n=,N,v.,2.0
856,aburteilen,&pUrtWl@n,V,,
857,Aburteilung,&pUrtWlUN,N,v.,2.0
858,abverkaufen,&pfErkBf@n,V,,
859,abverlangen,&pfErl&N@n,V,,
860,abvieren,&pfir@n,V,,
861,abwaegen,&pv)g@n,V,,
862,abwaegsam,&pv)kzam,A,,
863,Abwaegung,&pv)gUN,N,v.,2.0
864,abwaehlen,&pv)l@n,V,,
865,Abwahl,&pval,N,v.,2.0
866,abwaelzen,&pvEl=@n,V,,
867,abwandeln,&pv&nd@ln,V,,
868,Abwandelung,&pv&nd@lUN,N,v.,2.0
869,abwandern,&pv&nd@rn,V,,
870,Abwanderung,&pv&nd@rUN,N,v.,2.0
871,Abwandlung,&pv&ndlUN,N,v.,2.0
872,Abwaerme,&pvErm@,N,v.,2.0
873,abwarten,&pv&rt@n,V,,
874,Abwart,&pvart,N,m.,1.0
875,abwaerts,&pvEr=,ADV,,
876,abwaschen,&pv&S@n,V,,
877,Abwasch,&pv&S,N,m.,1.0
878,Abwaschung,&pv&SUN,N,v.,2.0
879,Abwasser,&pv&s@r,N,o.,3.0
880,abwechseln,&pvEks@ln,V,,
881,abwechselnd,&pvEks@lnt,A,,
882,Abwechselung,&pvEks@lUN,N,v.,2.0
883,Abwechslung,&pvEkslUN,N,v.,2.0
884,abwechslungslos,&pvEkslUNslos,A,,
885,abwechslungsreich,&pvEkslUNsrWx,A,,
886,Abweg,&pvek,N,m.,1.0
887,abwegig,&pvegIx,A,,
888,Abwegigkeit,&pvegIxkWt,N,v.,2.0
889,abwehren,&pver@n,V,,
890,Abwehr,&pver,N,v.,2.0
891,Abwehrgeschuetz,&pverg@SY=,N,o.,3.0
892,Abwehrkampf,&pverk&m+,N,m.,1.0
893,abweichen,&pvWx@n,V,,
894,Abweichung,&pvWxUN,N,v.,2.0
895,abweiden,&pvWd@n,V,,
896,abweisen,&pvWz@n,V,,
897,abweisend,&pvWz@nt,A,,
898,Abweiser,&pvWz@r,N,m.,1.0
899,Abweisung,&pvWzUN,N,v.,2.0
900,abwenden,&pvEnd@n,V,,
901,abwendbar,&pvEntbar,A,,
902,abwendig,&pvEndIx,A,,
903,Abwendung,&pvEndUN,N,v.,2.0
904,abwerben,&pvErb@n,V,,
905,Abwerbung,&pvErbUN,N,v.,2.0
906,abwerfen,&pvErf@n,V,,
907,abwerten,&pvert@n,V,,
908,Abwertung,&pvertUN,N,v.,2.0
909,abwesend,&pvez@nt,A,,
910,Abwesende,&pvez@nd@,N,v.,21.0
911,Abwesenheit,&pvez@nhWt,N,v.,2.0
912,abwettern,&pvEt@rn,V,,
913,abwetzen,&pvE=@n,V,,
914,abwichsen,&pvIks@n,V,,
915,abwickeln,&pvIk@ln,V,,
916,Abwicklung,&pvIklUN,N,v.,2.0
917,abwiegen,&pvig@n,V,,
918,abwiegeln,&pvig@ln,V,,
919,abwimmeln,&pvIm@ln,V,,
920,Abwind,&pvInt,N,m.,1.0
921,abwinken,&pvINk@n,V,,
922,abwirtschaften,&pvIrtS&ft@n,V,,
923,abwischen,&pvIS@n,V,,
924,abwohnen,&pvon@n,V,,
925,abwracken,&pvr&k@n,V,,
926,Abwurf,&pvUrf,N,m.,1.0
927,abwuergen,&pvYrg@n,V,,
928,abyssisch,&pYsIS,A,,
929,Abyssus,&bYsUs,N,m.,1.0
930,abzahlen,&p=al@n,V,,
931,abzaehlen,&p=)l@n,V,,
932,Abzaehlreim,&p=)lrWm,N,m.,1.0
933,Abzahlung,&p=alUN,N,v.,2.0
934,abzapfen,&p=&+@n,V,,
935,abzappeln,&p=&p@ln,V,,
936,abzaeumen,&p=Xm@n,V,,
937,abzaeunen,&p=Xn@n,V,,
938,Abzaeunung,&p=XnUN,N,v.,2.0
939,abzehren,&p=er@n,V,,
940,Abzehrung,&p=erUN,N,v.,2.0
941,Abzeichen,&p=Wx@n,N,o.,3.0
942,abzeichnen,&p=Wxn@n,V,,
943,abziehen,&p=i@n,V,,
944,Abziehbild,&p=ibIlt,N,o.,3.0
945,Abzieher,&p=i@r,N,m.,1.0
946,abzielen,&p=il@n,V,,
947,abzirkeln,&p=Irk@ln,V,,
948,Abzirkelung,&p=Irk@lUN,N,v.,2.0
949,abzischen,&p=IS@n,V,,
950,Abzug,&p=uk,N,m.,1.0
951,abzueglich,&p=yklIx,PREP,,
952,abzugsfaehig,&p=uksf)Ix,A,,
953,abzugsfrei,&p=uksfrW,A,,
954,abzupfen,&p=U+@n,V,,
955,abzwacken,&p=v&k@n,V,,
956,abzwecken,&p=vEk@n,V,,
957,abzweigen,&p=vWg@n,V,,
958,Abzweig,&p=vWk,N,m.,1.0
959,Abzweigdose,&p=vWkdoz@,N,v.,2.0
960,Abzweigung,&p=vWgUN,N,v.,2.0
961,Accessoire,&ksEsoar@,N,o.,3.0
962,Aceton,&=eton,N,o.,3.0
963,ach,&x,I,,
964,Achaene,&x)n@,N,v.,2.0
965,Achat,&xat,N,m.,1.0
966,Ache,&x@,N,v.,2.0
967,acheln,&x@ln,V,,
968,Achensee,ax@nze,N,m.,1.0
969,Achillesferse,&xIlEsfErz@,N,v.,2.0
970,Achillessehne,&xIlEszen@,N,v.,2.0
971,Achromasie,&krom&zi,N,v.,2.0
972,Achromat,&kromat,N,m.,1.0
973,Achromat,&kromat,N,o.,3.0
974,achromatisch,&kromatIS,A,,
975,Achromatopsie,&krom&tOpsi,N,v.,2.0
976,Achsdruck,&ksdrUk,N,m.,1.0
977,Achse,&ks@,N,v.,2.0
978,Achsel,&ks@l,N,v.,2.0
979,Achselgriff,&ks@lgrIf,N,m.,1.0
980,Achselhoehle,&ks@lh|l@,N,v.,2.0
981,Achselklappe,&ks@lkl&p@,N,v.,2.0
982,achselstaendig,&ks@lStEndIx,A,,
983,Achselzucken,&ks@l=Uk@n,N,o.,3.0
984,achselzuckend,&ks@l=Uk@nt,A,,
985,Achsenbruch,&ks@nbrUx,N,m.,1.0
986,Achsenzylinder,&ks@n=ylInd@r,N,m.,1.0
987,achsig,&ksIx,A,,
988,Achskilometer,&kskilomet@r,N,m.,1.0
989,Achslager,&kslag@r,N,o.,3.0
990,achsrecht,&ksrExt,A,,
991,acht,&xt,NUM,,
992,aechten,Ext@n,V,,
993,achten,&xt@n,V,,
994,Acht,&xt,N,v.,2.0
995,achte,&xt@,NUM,,
996,achtarmig,&xt&rmIx,A,,
997,achtbaendig,&xtbEndIx,A,,
998,achtbar,&xtbar,A,,
999,Achtbarkeit,&xtbarkWt,N,v.,2.0
1000,Achteck,&xtEk,N,o.,3.0
1001,achteckig,&xtEkIx,A,,
1002,achteinhalb,&xtWnh&lp,NUM,,
1003,achtel,&xt@l,NUM,,
1004,Achtel,&xt@l,N,o.,3.0
1005,Achtelliter,&xt@llit@r,N,o.,3.0
1006,Achtelnote,&xt@lnot@,N,v.,2.0
1007,Achtender,&xtEnd@r,N,m.,1.0
1008,achtens,&xt@ns,ADV,,
1009,Achter,&xt@r,N,m.,1.0
1010,achter,&xt@r,A,,
1011,achteraus,&xt@rBs,ADV,,
1012,Achterbahn,&xt@rban,N,v.,2.0
1013,Achterdeck,&xt@rdEk,N,o.,3.0
1014,achterlastig,&xt@rl&stIx,A,,
1015,achterlei,&xt@rlW,NUM,,
1016,achterlich,&xt@rlIx,A,,
1017,achtern,&xt@rn,ADV,,
1018,Achtersteven,&xt@rStev@n,N,m.,1.0
1019,achtfach,&xtf&x,NUM,,
1020,achtfaeltig,&xtfEltIx,NUM,,
1021,achtfaltig,&xtf<Ix,A,,
1022,Achtflaechner,&xtflExn@r,N,m.,1.0
1023,Achtfuesser,&xtfys@r,N,m.,1.0
1024,achtgeben,&xtgeb@n,V,,
1025,achthaben,&xthab@n,V,,
1026,achthundert,&xthUnd@rt,NUM,,
1027,achthundertste,&xthUnd@rtst@,NUM,,
1028,achtjaehrig,&xtj)rIx,A,,
1029,Achtkampf,&xtk&m+,N,m.,1.0
1030,achtkantig,&xtk&ntIx,A,,
1031,achtlos,&xtlos,A,,
1032,Achtlosigkeit,&xtlozIxkWt,N,v.,2.0
1033,achtmal,&xtmal,ADV,,
1034,achtmalig,&xtmalIx,A,,
1035,achtmillionenmal,&xtmilion@nmal,ADV,,
1036,Achtpfennigmarke,&xt+EnIxm&rk@,N,v.,2.0
1037,achtsam,&xtzam,A,,
1038,Achtsamkeit,&xtzamkWt,N,v.,2.0
1039,achtspaennig,&xtSpEnIx,A,,
1040,achtstoeckig,&xtSt/kIx,A,,
1041,Achtstundentag,&xtStUnd@ntak,N,m.,1.0
1042,achttausend,&xttBz@nt,NUM,,
1043,achttausendste,&xttBz@ntst@,A,,
1044,Achtung,&xtUN,N,v.,2.0
1045,achtunggebietend,&xtUNg@bit@nt,A,,
1046,Achtungsbezeigung,&xtUNsb@=WgUN,N,v.,2.0
1047,Achtungserfolg,&xtUNsErfOlk,N,m.,1.0
1048,achtungsvoll,&xtUNsfOl,A,,
1049,achtzehn,&xt=en,NUM,,
1050,Achtzehnender,&xt=enEnd@r,N,m.,1.0
1051,achtzehnjaehrig,&xt=enj)rIx,A,,
1052,achtzehnte,&x=ent@,NUM,,
1053,achtzig,&x=Ix,NUM,,
1054,Achtzig,&x=Ix,N,v.,2.0
1055,achtziger,&x=Ig@r,A,,
1056,Achtziger,&x=Ig@r,N,m.,1.0
1057,Achtzigerin,&x=Ig@rIn,N,v.,2.0
1058,achtzigfach,&x=Ixf&x,NUM,,
1059,achtzigjaehrig,&x=Ixj)rIx,A,,
1060,achtzigmal,&x=Ixmal,ADV,,
1061,achtzigste,&x=Ixst@,NUM,,
1062,achtzigstel,&x=Ixst@l,NUM,,
1063,Achtzigstel,&x=Ixst@l,N,o.,3.0
1064,achtzollig,&xt=OlIx,A,,
1065,achtzoellig,&xt=/lIx,A,,
1066,Achtzylinder,&xt=ylInd@r,N,m.,1.0
1067,Achtzylindermotor,&xt=ylInd@rmotOr,N,m.,1.0
1068,achtzylindrig,&xt=ylIndrIx,A,,
1069,aechzen,Ex=@n,V,,
1070,ackern,&k@rn,V,,
1071,Acker,&k@r,N,m.,1.0
1072,Ackerbau,&k@rbB,N,m.,1.0
1073,Ackerbauer,&k@rbB@r,N,m.,1.0
1074,ackerbautreibend,&k@rbBtrWb@nt,A,,
1075,Ackerflaeche,&k@rflEx@,N,v.,2.0
1076,Ackermann,&k@rm&n,N,m.,1.0
1077,Ackernahrung,&k@rnarUN,N,v.,2.0
1078,Ackersmann,&k@rsm&n,N,m.,1.0
1079,Acre,ek@r,N,m.,1.0
1080,adagio,&da_o,ADV,,
1081,Adagio,&da_o,N,o.,3.0
1082,Adamit,&d&mit,N,m.,1.0
1083,adamitisch,&d&mitIS,A,,
1084,Adamsapfel,ad&ms&+@l,N,m.,1.0
1085,Adamskostuem,ad&mskOstym,N,o.,3.0
1086,Adaptation,&d&pt&=ion,N,v.,2.0
1087,Adapter,&d&pt@r,N,m.,1.0
1088,adaptieren,&d&ptir@n,V,,
1089,adaptiv,&d&ptif,A,,
1090,adaequat,&dEkvat,A,,
1091,Addendum,&dEndUm,N,o.,3.0
1092,addieren,&dir@n,V,,
1093,Addiermaschine,&dirm&Sin@,N,v.,2.0
1094,Addition,&di=ion,N,v.,2.0
1095,additional,&di=ional,A,,
1096,additiv,&ditif,A,,
1097,Additiv,&ditif,N,o.,3.0
1098,addizieren,&di=ir@n,V,,
1099,Adduktion,&dUk=ion,N,v.,2.0
1100,Adduktor,&dUktOr,N,m.,1.0
1101,Ade,&de,N,o.,3.0
1102,adeln,ad@ln,V,,
1103,Adel,ad@l,N,m.,1.0
1104,adelig,ad@lIx,A,,
1105,Adelsbrief,ad@lsbrif,N,m.,1.0
1106,Adelspraedikat,ad@lsprEdikat,N,o.,3.0
1107,adelsstolz,ad@lsStOl=,A,,
1108,Adelung,ad@lUN,N,v.,2.0
1109,Adenom,&denom,N,o.,3.0
1110,adenomatoes,&denom&t|s,A,,
1111,Adept,&dEpt,N,m.,1.0
1112,aedern,)d@rn,V,,
1113,Ader,ad@r,N,v.,2.0
1114,Aederchen,)d@rx@n,N,o.,3.0
1115,aederig,)d@rIx,A,,
1116,aderig,ad@rIx,A,,
1117,Aderlass,ad@rl&s,N,m.,1.0
1118,Aederung,)d@rUN,N,v.,2.0
1119,adhaerieren,&thErir@n,V,,
1120,Adhaesion,&thEzion,N,v.,2.0
1121,Adhaesionsbahn,&thEzionsban,N,v.,2.0
1122,adiabatisch,&di&batIS,A,,
1123,adieu,&di|,ADV,,
1124,Adjektiv,&tjEktif,N,o.,3.0
1125,adjektivisch,&tjEktivIS,A,,
1126,Adjudikation,&tjudik&=ion,N,v.,2.0
1127,adjudizieren,&tjudi=ir@n,V,,
1128,Adjunkt,&tjUNkt,N,m.,1.0
1129,adjustieren,&tjUstir@n,V,,
1130,Adjustierung,&tjUstirUN,N,v.,2.0
1131,Adjutant,&tjut&nt,N,m.,1.0
1132,Adjutantur,&tjut&ntur,N,v.,2.0
1133,Adjutum,&tjutUm,N,o.,3.0
1134,Adler,adl@r,N,m.,1.0
1135,Adlerblick,adl@rblIk,N,m.,1.0
1136,adlig,adlIx,A,,
1137,Adlige,adlIg@,N,v.,21.0
1138,Administration,&tminIstr&=ion,N,v.,2.0
1139,administrativ,&tminIstr&tif,A,,
1140,Administrator,&tminIstratOr,N,m.,1.0
1141,administrieren,&tminIstrir@n,V,,
1142,admirabel,&tmirab@l,A,,
1143,Admiral,&tmiral,N,m.,1.0
1144,Admiralitaet,&tmir&lit)t,N,v.,2.0
1145,Adnex,&tnEks,N,m.,1.0
1146,Adoleszenz,&dolEs=En=,N,v.,2.0
1147,Adonis,&donIs,N,m.,1.0
1148,adonisch,&donIS,A,,
1149,adoptieren,&dOptir@n,V,,
1150,Adoption,&dOp=ion,N,v.,2.0
1151,Adoptivkind,&dOptifkInt,N,o.,3.0
1152,adorabel,&dorab@l,A,,
1153,Adoration,&dor&=ion,N,v.,2.0
1154,adorieren,&dorir@n,V,,
1155,adremieren,&dremir@n,V,,
1156,Adrenalin,&dren&lin,N,o.,3.0
1157,Adressant,&drEs&nt,N,m.,1.0
1158,Adressat,&drEsat,N,m.,1.0
1159,Adressbuch,&drEsbux,N,o.,3.0
1160,Adresse,&drEs@,N,v.,2.0
1161,adressieren,&drEsir@n,V,,
1162,Adressiermaschine,&drEsirm&Sin@,N,v.,2.0
1163,adrett,&drEt,A,,
1164,Adria,adria,N,v.,2.0
1165,adriatisch,&driatIS,A,,
1166,aedrig,)drIx,A,,
1167,adrig,adrIx,A,,
1168,adsorbieren,&tzOrbir@n,V,,
1169,Adsorption,&tzOrp=ion,N,v.,2.0
1170,adstringieren,&tStrINgir@n,V,,
1171,Advantage,@dv#ntI_,N,m.,1.0
1172,Advent,&tvEnt,N,m.,1.0
1173,Adventist,&tvEntIst,N,m.,1.0
1174,Adventskranz,&tvEn=kr&n=,N,m.,1.0
1175,Adventssonntag,&tvEn=zOntak,N,m.,1.0
1176,Adverb,&tvErp,N,o.,3.0
1177,adverbial,&tvErbial,A,,
1178,Adverbialbestimmung,&tvErbialb@StImUN,N,v.,2.0
1179,Adverbialsatz,&tvErbialz&=,N,m.,1.0
1180,adverbiell,&tvErbiEl,A,,
1181,adversativ,&tvErz&tif,A,,
1182,Advokat,&tvokat,N,m.,1.0
1183,aerob,&erop,A,,
1184,Aerobier,&erobi@r,N,m.,1.0
1185,Aerobiont,&erobiOnt,N,m.,1.0
1186,Aerodynamik,&erodynamIk,N,v.,2.0
1187,aerodynamisch,&erodynamIS,A,,
1188,Aeroflot,&eroflOt,N,v.,2.0
1189,Aerogramm,&erogr&m,N,o.,3.0
1190,Aerolith,&erolit,N,m.,1.0
1191,Aerologie,&erologi,N,v.,2.0
1192,Aeromechanik,&eromexanIk,N,v.,2.0
1193,Aerometer,&eromet@r,N,o.,3.0
1194,Aeronautik,&eronBtIk,N,v.,2.0
1195,Aeroplan,&eroplan,N,m.,1.0
1196,Aerosol,&erozol,N,o.,3.0
1197,Aerostatik,&erostatIk,N,v.,2.0
1198,aerostatisch,&erostatIS,A,,
1199,aeffen,Ef@n,V,,
1200,Affaere,&f)r@,N,v.,2.0
1201,Aeffchen,Efx@n,N,o.,3.0
1202,Affe,&f@,N,m.,1.0
1203,Affekt,&fEkt,N,m.,1.0
1204,Affektation,&fEkt&=ion,N,v.,2.0
