,orthography,phonology,Class,gender,gender_numeric
388,Ablassbrief,&pl&sbrif,N,m.,1.0
389,Ablation,&pl&=ion,N,v.,2.0
390,Ablativ,&bl&tif,N,m.,1.0
391,Ablativus,&bl&tivUs,N,m.,1.0
392,ablaufen,&plBf@n,V,,
393,Ablauf,&plBf,N,m.,1.0
394,Ablaufrinne,&plBfrIn@,N,v.,2.0
395,ablaugen,&plBg@n,V,,
396,ablauten,&plBt@n,V,,
397,Ablaut,&plBt,N,m.,1.0
398,ableben,&pleb@n,V,,
399,Ableben,&pleb@n,N,o.,3.0
400,ablecken,&plEk@n,V,,
401,abledern,&pled@rn,V,,
402,ablegen,&pleg@n,V,,
403,Ableger,&pleg@r,N,m.,1.0
404,ablehnen,&plen@n,V,,
405,Ablehnung,&plenUN,N,v.,2.0
406,ableiern,&plW@rn,V,,
407,ableisten,&plWst@n,V,,
408,ableiten,&plWt@n,V,,
409,Ableitung,&plWtUN,N,v.,2.0
410,Ableitungssilbe,&plWtUNszIlb@,N,v.,2.0
411,ablenken,&plENk@n,V,,
412,Ablenkung,&plENkUN,N,v.,2.0
413,Ablenkungsmanoever,&plENkUNsm&n|v@r,N,o.,3.0
414,ablesen,&plez@n,V,,
415,Ableser,&plez@r,N,m.,1.0
416,ableugnen,&plXgn@n,V,,
417,ablichten,&plIxt@n,V,,
418,abliefern,&plif@rn,V,,
419,Ablieferung,&plif@rUN,N,v.,2.0
420,Ablieferungssoll,&plif@rUNszOl,N,o.,3.0
421,abliegen,&plig@n,V,,
422,ablisten,&plIst@n,V,,
423,ablochen,&plOx@n,V,,
424,ablocken,&plOk@n,V,,
425,ablohnen,&plon@n,V,,
426,abloesen,&pl|z@n,V,,
427,abloeschen,&pl/S@n,V,,
428,Abloese,&pl|z@,N,v.,2.0
429,Abloesung,&pl|zUN,N,v.,2.0
430,abluchsen,&plUks@n,V,,
431,Abluft,&plUft,N,v.,2.0
432,abmachen,&pm&x@n,V,,
433,Abmachung,&pm&xUN,N,v.,2.0
434,abmagern,&pmag@rn,V,,
435,Abmagerung,&pmag@rUN,N,v.,2.0
436,abmalen,&pmal@n,V,,
437,Abmarsch,&pm&rS,N,m.,1.0
438,abmarschbereit,&pm&rSb@rWt,A,,
439,abmarschieren,&pm&rSir@n,V,,
440,abmehren,&pmer@n,V,,
441,abmeiern,&pmW@rn,V,,
442,Abmeierung,&pmW@rUN,N,v.,2.0
443,abmelden,&pmEld@n,V,,
444,Abmeldung,&pmEldUN,N,v.,2.0
445,abmergeln,&pmErg@ln,V,,
446,abmessen,&pmEs@n,V,,
447,Abmessung,&pmEsUN,N,v.,2.0
448,abmontieren,&pmOntir@n,V,,
449,abmueden,&pmyd@n,V,,
450,abmuehen,&pmy@n,V,,
451,abmurksen,&pmUrks@n,V,,
452,abmustern,&pmUst@rn,V,,
453,Abmusterung,&pmUst@rUN,N,v.,2.0
454,abnabeln,&pnab@ln,V,,
455,abnagen,&pnag@n,V,,
456,abnaehen,&pn)@n,V,,
457,Abnaeher,&pn)@r,N,m.,1.0
458,Abnahme,&pnam@,N,v.,2.0
459,abnehmen,&pnem@n,V,,
460,Abnehmer,&pnem@r,N,m.,1.0
461,Abnehmerland,&pnem@rl&nt,N,o.,3.0
462,abneigen,&pnWg@n,V,,
463,Abneigung,&pnWgUN,N,v.,2.0
464,abnibbeln,&pnIb@ln,V,,
465,abnorm,&pnOrm,A,,
466,abnormal,&pnOrmal,A,,
467,Abnormitaet,&pnOrmit)t,N,v.,2.0
468,abnoetigen,&pn|tIg@n,V,,
469,abnutzen,&pnU=@n,V,,
470,abnuetzen,&pnY=@n,V,,
471,Abnutzung,&pnU=UN,N,v.,2.0
472,Abnuetzung,&pnY=UN,N,v.,2.0
473,Abonnement,&bOn@mq,N,o.,3.0
474,Abonnementskarte,&bOn@mqsk&rt@,N,v.,2.0
475,Abonnent,&bOnEnt,N,m.,1.0
476,abonnieren,&bOnir@n,V,,
477,abordnen,&pOrdn@n,V,,
478,Abordnung,&pOrdnUN,N,v.,2.0
479,Abort,&bOrt,N,m.,1.0
480,abortieren,&bOrtir@n,V,,
481,abortiv,&bOrtif,A,,
482,abpacken,&pp&k@n,V,,
483,abparken,&pp&rk@n,V,,
484,abpassen,&pp&s@n,V,,
485,abpausen,&ppBz@n,V,,
486,abperlen,&ppErl@n,V,,
487,abpfeifen,&p+Wf@n,V,,
488,abpfluecken,&p+lYk@n,V,,
489,abphotographieren,&pfotogr&fir@n,V,,
490,abpinnen,&ppIn@n,V,,
491,abplagen,&pplag@n,V,,
492,abplatten,&ppl&t@n,V,,
493,abprallen,&ppr&l@n,V,,
494,Abprall,&ppr&l,N,m.,1.0
495,abpressen,&pprEs@n,V,,
496,abprotzen,&pprO=@n,V,,
497,abputzen,&ppU=@n,V,,
498,Abputz,&ppU=,N,m.,1.0
499,abquaelen,&pkv)l@n,V,,
500,abqualifizieren,&pkv&lifi=ir@n,V,,
501,abrackern,&pr&k@rn,V,,
502,abrahmen,&pram@n,V,,
503,Abrakadabra,abr&k&dabra,N,o.,3.0
504,abrasieren,&pr&zir@n,V,,
505,Abrasion,&br&zion,N,v.,2.0
506,abraten,&prat@n,V,,
507,abraeumen,&prXm@n,V,,
508,Abraum,&prBm,N,m.,1.0
509,Abraumsalz,&prBmz&l=,N,o.,3.0
510,Abraxas,&br&ks&s,N,m.,1.0
511,abreagieren,&pre&gir@n,V,,
512,abrebeln,&preb@ln,V,,
513,abrechnen,&prExn@n,V,,
514,Abrechnung,&prExnUN,N,v.,2.0
515,Abrechte,&prExt@,N,v.,2.0
516,Abrede,&pred@,N,v.,2.0
517,abregen,&preg@n,V,,
518,abreiben,&prWb@n,V,,
519,Abreibung,&prWbUN,N,v.,2.0
520,abreichen,&prWx@n,V,,
521,abreisen,&prWz@n,V,,
522,Abreise,&prWz@,N,v.,2.0
523,abreissen,&prWs@n,V,,
524,Abreissblock,&prWsblOk,N,m.,1.0
525,Abreisskalender,&prWsk&lEnd@r,N,m.,1.0
526,abreiten,&prWt@n,V,,
527,abrichten,&prIxt@n,V,,
528,Abrichter,&prIxt@r,N,m.,1.0
